file_name,mask_precision,mask_recall,mask_f1,replace_precision,replace_recall,replace_f1
test_file_001.txt,0.70612615,0.7838907,0.7429791,0.898683,0.9012468,0.899963
test_file_002.txt,0.7820294,0.86221856,0.8201685,0.9062791,0.9203778,0.91327405
test_file_003.txt,0.7148658,0.8035853,0.7566337,0.8889676,0.90744585,0.89811164
test_file_004.txt,0.78237915,0.85413206,0.8166826,0.9129255,0.92272675,0.91779995
test_file_005.txt,0.7594516,0.84457386,0.7997541,0.9127575,0.9201956,0.91646147
test_file_006.txt,0.75758195,0.8481595,0.80031604,0.904624,0.9263978,0.91538143
test_file_007.txt,0.80830777,0.89382756,0.8489193,0.9321645,0.9512629,0.94161683
test_file_008.txt,0.7146694,0.7897558,0.7503388,0.9017954,0.906146,0.9039654
test_file_009.txt,0.71172667,0.79733396,0.75210214,0.89954984,0.90380687,0.9016734
test_file_010.txt,0.7736705,0.86149585,0.8152246,0.9029983,0.9162079,0.9095552
test_file_011.txt,0.764631,0.8313871,0.796613,0.92158633,0.91381395,0.91768366
test_file_012.txt,0.7399136,0.8241774,0.7797757,0.92037886,0.94037,0.93026704
test_file_013.txt,0.784247,0.8575085,0.81924313,0.90623534,0.9184618,0.9123076
test_file_014.txt,0.77422357,0.85650504,0.8132885,0.92419493,0.9349509,0.92954177
test_file_015.txt,0.82785606,0.8839015,0.8549613,0.94707406,0.94338804,0.94522744
test_file_016.txt,0.74974763,0.8329651,0.7891686,0.9128008,0.9205774,0.9166726
test_file_017.txt,0.78898305,0.84627384,0.8166248,0.91858673,0.9225383,0.9205583
test_file_018.txt,0.7871518,0.8602085,0.82206017,0.9405271,0.95053124,0.9455027
test_file_019.txt,0.8123578,0.88172686,0.84562206,0.9429652,0.94745183,0.9452032
test_file_020.txt,0.72402596,0.7962581,0.75842613,0.8990534,0.90499103,0.9020124
test_file_021.txt,0.7713754,0.8594965,0.8130552,0.91801924,0.92822933,0.923096
test_file_022.txt,0.76605254,0.83467335,0.7988921,0.92946494,0.93657434,0.9330061
test_file_023.txt,0.7906451,0.8741454,0.8303012,0.9111339,0.93378276,0.92231935
test_file_024.txt,0.75213057,0.8185363,0.7839297,0.9284195,0.93202966,0.9302211
test_file_025.txt,0.7597536,0.84677076,0.8009055,0.9091505,0.9212029,0.91513705
test_file_026.txt,0.7806388,0.8395334,0.80901563,0.91741216,0.9207788,0.91909236
test_file_027.txt,0.83251214,0.8958591,0.8630248,0.9399983,0.95135266,0.9456414
test_file_028.txt,0.7586775,0.850203,0.80183685,0.9113803,0.92554116,0.9184061
test_file_029.txt,0.8125777,0.88387823,0.84672964,0.92779636,0.94391847,0.935788
test_file_030.txt,0.71594656,0.7911465,0.7516704,0.9128984,0.9128953,0.9128969
test_file_031.txt,0.79531896,0.8597048,0.82625943,0.92335093,0.92482287,0.92408633
